folder,file,cognitive_complexity
unknown,main.rs.json,22.0
unknown,main.rs.json,13.0
unknown,main.rs.json,9.0
unknown,main.rs.json,57.0
unknown,main.rs.json,2.0
unknown,main.rs.json,0.0
unknown,main.rs.json,1.0
unknown,main.rs.json,29.0
unknown,main.rs.json,8.0
unknown,main.rs.json,7.0
unknown,main.rs.json,1.0
unknown,main.rs.json,11.0
unknown,main.rs.json,6.0
unknown,main.rs.json,7.0
unknown,main.rs.json,2.0
unknown,main.rs.json,12.0
unknown,main.rs.json,0.0
unknown,main.rs.json,8.0
unknown,main.rs.json,0.0
unknown,main.rs.json,1.0
unknown,main.rs.json,13.0
unknown,main.rs.json,3.0
unknown,main.rs.json,14.0
unknown,main.rs.json,0.0
unknown,main.rs.json,11.0
unknown,main.rs.json,7.0
unknown,main.rs.json,1.0
unknown,main.rs.json,4.0
unknown,main.rs.json,9.0
unknown,main.rs.json,1.0
unknown,main.rs.json,1.0
unknown,main.rs.json,6.0
unknown,main.rs.json,0.0
unknown,main.rs.json,81.0
unknown,main.rs.json,8.0
unknown,main.rs.json,6.0
unknown,main.rs.json,10.0
unknown,main.rs.json,14.0
unknown,main.rs.json,10.0
unknown,main.rs.json,9.0
unknown,main.rs.json,4.0
unknown,main.rs.json,15.0
unknown,main.rs.json,2.0
unknown,main.rs.json,8.0
unknown,main.rs.json,34.0
unknown,main.rs.json,1.0
unknown,main.rs.json,4.0
unknown,main.rs.json,18.0
unknown,main.rs.json,17.0
unknown,main.rs.json,12.0
unknown,main.rs.json,9.0
unknown,main.rs.json,17.0
unknown,main.rs.json,12.0
unknown,main.rs.json,1.0
unknown,main.rs.json,7.0
unknown,main.rs.json,37.0
unknown,main.rs.json,26.0
unknown,main.rs.json,15.0
unknown,main.rs.json,2.0
unknown,main.rs.json,6.0
unknown,main.rs.json,14.0
unknown,main.rs.json,23.0
unknown,main.rs.json,5.0
unknown,main.rs.json,7.0
unknown,main.rs.json,1.0
unknown,main.rs.json,9.0
unknown,main.rs.json,23.0
unknown,main.rs.json,15.0
unknown,main.rs.json,6.0
unknown,main.rs.json,8.0
unknown,main.rs.json,2.0
unknown,main.rs.json,0.0
unknown,main.rs.json,20.0
unknown,main.rs.json,19.0
unknown,main.rs.json,9.0
unknown,main.rs.json,9.0
unknown,main.rs.json,7.0
unknown,main.rs.json,3.0
unknown,main.rs.json,16.0
unknown,main.rs.json,15.0
unknown,main.rs.json,22.0
unknown,main.rs.json,29.0
unknown,main.rs.json,5.0
unknown,main.rs.json,5.0
unknown,main.rs.json,38.0
unknown,main.rs.json,2.0
unknown,main.rs.json,9.0
unknown,main.rs.json,0.0
unknown,main.rs.json,4.0
unknown,main.rs.json,10.0
unknown,main.rs.json,81.0
unknown,main.rs.json,1.0
unknown,main.rs.json,24.0
unknown,main.rs.json,0.0
unknown,main.rs.json,1.0
unknown,main.rs.json,14.0
unknown,main.rs.json,18.0
unknown,main.rs.json,11.0
unknown,main.rs.json,10.0
unknown,main.rs.json,13.0
unknown,main.rs.json,4.0
unknown,main.rs.json,7.0
unknown,main.rs.json,10.0
unknown,main.rs.json,15.0
unknown,main.rs.json,3.0
unknown,main.rs.json,0.0
unknown,main.rs.json,0.0
unknown,main.rs.json,32.0
unknown,main.rs.json,17.0
unknown,main.rs.json,6.0
unknown,main.rs.json,25.0
unknown,main.rs.json,18.0
unknown,main.rs.json,29.0
unknown,main.rs.json,20.0
unknown,main.rs.json,3.0
unknown,main.rs.json,0.0
unknown,main.rs.json,25.0
unknown,main.rs.json,1.0
unknown,main.rs.json,9.0
unknown,main.rs.json,3.0
unknown,main.rs.json,8.0
unknown,main.rs.json,13.0
unknown,main.rs.json,1.0
unknown,main.rs.json,10.0
unknown,main.rs.json,10.0
